month,total_duration_month,total_duration_month_aoe,total_duration_month_ao,total_duration_month_rem,year,time,_merge,avg_duration,avg_duration_month,avg_duration_aoe,avg_duration_month_aoe,avg_duration_ao,avg_duration_month_ao,avg_duration_rem,avg_duration_month_rem
9,14888.384,7313.2666,7563.4834,9623.5664,2011,24.733334,matched (3),601.95624,.75056887,295.68463,.73370874,305.80121,.76641905,389.09299,.77508563
10,17780.783,9144.9668,8606.8672,11474.334,2011,26.950001,matched (3),659.76929,.82265496,339.33084,.84201199,319.36426,.8004117,425.76376,.84813499
11,17335.65,8741.5,8568.9336,11289.134,2011,23.216667,matched (3),746.68988,.93103474,376.51831,.93428862,369.08542,.92502612,486.25125,.96862799
12,8809.3828,4498.2998,4303.6997,5944.1831,2011,14.816667,matched (3),594.55902,.74134541,303.59729,.75334316,290.46341,.72797847,401.18222,.79916775
13,5569.7998,2849.1499,2716.6833,3840.4333,2012,13.466666,matched (3),413.599,.51570946,211.57054,.52498895,201.73392,.50559878,285.18069,.56808901
14,4175.4834,2125.4666,2044.45,2795.3667,2012,22.683332,matched (3),184.07716,.22952265,93.701691,.2325104,90.130051,.22588985,123.23439,.24548684
15,5735.6665,2871.6001,2856.9333,3935.8999,2012,14.466666,matched (3),396.47467,.49435744,198.49771,.49255016,197.48387,.49494705,272.06683,.54196578
16,4738.4502,2411.8333,2321.0166,3041.7,2012,18.983334,matched (3),249.61107,.31123576,127.05004,.31526065,122.26601,.30643111,160.23003,.31918332
17,9802.9502,4995.25,4791.9834,6377.7832,2012,22.15,matched (3),442.57114,.55183434,225.5192,.55960101,216.34238,.54221147,287.93604,.57357776
18,6825.7002,3518.1499,3298.4666,4511.9668,2012,16.483334,matched (3),414.09708,.51633054,213.4368,.52961987,200.10919,.50152677,273.72903,.54527694
19,2032.2833,1027.9667,1000.8667,1289.2667,2012,12.683333,matched (3),160.23259,.19979125,81.048622,.20111321,78.911957,.19777432,101.65047,.20249097
20,2483.8167,1259.9333,1218.4166,1583.9166,2012,21.183332,matched (3),117.25335,.14620118,59.477581,.14758705,57.517704,.14415465,74.771835,.14894788
21,9388.1328,4598.4502,4782.0332,6023.7832,2012,18.65,matched (3),503.38516,.6276623,246.5657,.61182559,256.4093,.6426298,322.99106,.64340848
22,10581.116,5248.0498,5333.0664,6796.5498,2012,22.65,matched (3),467.15747,.58249062,231.70198,.57494289,235.45547,.590114,300.06842,.59774584
23,7280.8169,3578.1833,3702.6333,4867.5332,2012,18.549999,matched (3),392.49689,.48939762,192.89398,.47864512,199.60287,.50025785,262.40073,.52271062
24,7647.5,3639.4167,4008.0833,5056.9668,2012,17.616667,matched (3),434.10596,.54127926,206.5894,.51262879,227.51656,.57021695,287.05582,.57182431
25,10858.884,5410.1001,5448.7832,7031.4834,2013,23.383333,matched (3),464.38562,.57903445,231.36565,.5741083,233.01996,.58400995,300.70493,.59901381
26,7819.1499,3758.9001,4060.25,5273.5835,2013,16.833334,matched (3),464.50394,.57918197,223.30099,.55409676,241.20296,.60451871,313.28217,.62406808
27,5716.1001,2812.8501,2903.25,3806.1167,2013,16.15,matched (3),353.93808,.44131929,174.17029,.43218434,179.76781,.45054588,235.67287,.46946785
28,7803.7002,3886.55,3917.1499,5210.5332,2013,16.366667,matched (3),476.80447,.59451932,237.46741,.58924913,239.33707,.59984225,318.36252,.63418829
29,10182.35,5081.9331,5100.4165,6703.5498,2013,23.366667,matched (3),435.76389,.54334646,217.48643,.53966856,218.27745,.54706126,286.88516,.57148439
30,7868.5669,3923.3,3945.2666,5182.8667,2013,14.716666,matched (3),534.67047,.6666714,266.5889,.66151088,268.08154,.67188358,352.1767,.70154721
31,10840.117,5446.4834,5378.8999,7121.6499,2013,18.6,matched (3),582.802,.72668576,292.82169,.7266047,289.18817,.72478241,382.8844,.7627179
32,1126.0333,495.61667,585.51666,760.90002,2013,7,matched (3),160.86191,.20057595,70.802383,.1756883,83.645241,.20963719,108.7,.21653387
