village_no,village,taluka_name,hhs,pop,workers,male_workers,no_cultivators,no_ag_laborers,prop_cult,prop_cult_abmed
1,AKALA,CHOTILA,161,849,475,265,175,98,.1714285714285714,1
2,BAMANBORE,CHOTILA,579,3308,1396,1023,126,394,.2380952380952381,1
4,BHETSUDA,CHOTILA,252,1583,863,443,312,75,.0961538461538462,0
5,BHIMORA,CHOTILA,69,817,93,83,51,2,.5882352941176471,1
6,CHIRODA,CHOTILA,345,2338,1125,679,631,398,.0475435816164818,0
10,HIRASAR,CHOTILA,277,1223,696,340,594,57,.0505050505050505,0
16,KHERANA,CHOTILA,667,2983,1406,880,844,146,.0355450236966825,0
19,LAKHACHOKIYA,CHOTILA,184,1011,371,259,209,98,.1435406698564593,1
22,MOKASAR,CHOTILA,354,1721,919,475,325,102,.0923076923076923,0
23,MOTA KANDHASAR,CHOTILA,187,941,354,261,220,67,,1
11,NANA KANDHASAR,CHOTILA,244,1309,405,356,261,79,.1149425287356322,1
27,NANI MORSAL,CHOTILA,209,1443,597,337,400,30,.075,0
30,PANCHAVADA,CHOTILA,376,1581,436,410,262,97,.1145038167938931,1
31,PIPALIYA (DHORA),CHOTILA,196,1147,515,320,33,205,.9090909090909091,1
32,RAJAVAD,CHOTILA,265,1530,825,418,342,26,.087719298245614,0
33,SANGANI,CHOTILA,229,1179,643,325,312,17,.0961538461538462,0
34,SANOSARA,CHOTILA,454,2440,728,680,87,535,.3448275862068966,1
37,SURAI,CHOTILA,205,1306,704,403,269,264,.1115241635687732,1
38,TAJPAR,CHOTILA,167,900,378,235,308,60,.0974025974025974,1
39,TRAMBODA,CHOTILA,138,824,443,219,398,23,.0753768844221105,0
3,BHADUKA,SAYLA,349,1782,804,548,400,132,.075,0
7,DHAJALA,SAYLA,457,2288,1059,634,380,305,.0789473684210526,0
8,DHAMRASLA,SAYLA,365,1733,971,477,655,236,.0458015267175573,0
9,DHANDHALPUR,SAYLA,657,3387,1485,953,466,454,.0643776824034335,0
12,KARADI,SAYLA,175,855,489,247,182,106,.1648351648351648,1
13,KASHIPARA,SAYLA,157,830,490,238,104,256,.2884615384615384,1
14,KASWALI,SAYLA,267,1555,631,433,160,218,.1875,1
15,KESARPAR,SAYLA,142,885,318,240,114,167,.2631578947368421,1
17,KHINTLA,SAYLA,615,2964,1620,846,450,998,.0666666666666667,0
18,KOTDA,SAYLA,225,1299,607,317,275,33,.1090909090909091,1
20,LIMBALA,SAYLA,373,1974,829,555,274,228,.1094890510948905,1
21,MANGALKUI,SAYLA,117,660,303,170,121,170,.2479338842975207,1
24,MOTA SAKHPAR ,SAYLA,310,1646,865,447,347,434,.0864553314121038,0
25,NADALA (DEVGHAT),SAYLA,770,3870,1990,1048,689,795,.0435413642960813,0
26,NANA SAKPHAR,SAYLA,72,408,226,118,65,1,.4615384615384616,1
28,NAVA SUDAMDA,SAYLA,150,737,380,203,208,93,.1442307692307692,1
29,NAVAGAM (BAVLIYA),SAYLA,268,1361,709,372,232,133,.1293103448275862,1
35,SHIRVANIYA,SAYLA,389,2064,1007,566,694,76,.0432276657060519,0
36,SOKHADA,SAYLA,321,1815,1020,517,658,74,.0455927051671733,0
40,VANTA VACHH,SAYLA,447,2510,1117,670,401,73,.0748129675810474,0
