uid,m2,bdmbidprice,treatment,bought_ao
1002003,W2,,2,0
1041149E,W1,140,,1
1041019E,W1,40,,0
2013004,W1,490,1,0
1039115F,W2,,,0
1039123F,W1,40,,0
1031112F,W1,140,,1
1019023,W1,140,2,1
1033010,W1,90,3,0
1001022,W2,,3,0
1039201F,W1,0,,0
2014003,W2,,1,0
1010202F,W1,140,,1
2007011,W1,90,2,1
2014011,W1,40,2,0
1027002,W1,90,3,1
2018012,W2,,1,1
1016026,W1,40,2,1
1041053E,W1,40,,0
1004002,W1,40,1,0
1010103F,W1,40,,1
1010010,W2,,2,0
2007016,W1,40,2,0
1002205F,W2,,,1
1019013,W1,40,3,0
1041011E,W1,240,,1
1041038E,W1,40,,1
1041063E,W1,140,,0
2024009,W2,,3,0
1041003E,W1,0,,0
2035022,W1,240,2,0
1039128F,W1,0,,0
1004216F,W1,40,,0
2007019,W1,40,2,1
1005041,W1,290,2,0
1023022,W2,,2,0
1041050E,W1,40,,0
1041060E,W1,90,,0
1041107E,W1,90,,1
2028013,W2,,1,0
1041092E,W2,,,0
1041032E,W2,,,1
1032107F,W2,,,0
1016016,W2,,1,0
1037110F,W1,90,,0
1038125F,W1,90,,1
1033017,W1,90,1,1
2012029,W1,40,1,0
1004132F,W2,,,0
1004111F,W1,40,,0
2025028,W2,,3,0
2035029,W1,40,2,0
1004120F,W1,40,,1
1016019,W1,40,1,0
2028012,W2,,2,1
1041017E,W1,40,,1
2029041,W1,190,1,1
1002105F,W1,40,,1
2025043,W1,40,3,0
2035005,W2,,1,0
1041132E,W1,40,,0
1034022,W1,90,1,0
1033115F,W1,40,,0
2040010,W1,40,2,0
2020011,W1,390,3,1
2008031,W2,,1,1
1037125F,W2,,,0
1023103F,W1,40,,0
1041066E,W1,40,,0
1022027,W1,40,2,1
1005019,W1,40,3,0
1037117F,W2,,,0
1030038,W1,40,1,0
1005012,W1,40,1,0
1022021,W1,,3,0
1033034,W1,240,2,1
2024016,W1,190,2,1
1041095E,W1,90,,0
1001006,W1,,2,0
1031013,W2,,2,1
1041049E,W1,190,,0
2020016,W1,140,1,1
2021004,W1,90,2,1
