uid,price,allbuy,a0_2_age,total_duration,treated_peer,treatment,c1_5a_BE,edu_years_BE,overall,skepz
1001001,90,0,45,0,1,3,8,0,20,0
1001001,190,0,45,0,1,3,8,0,20,0
1001001,490,0,45,0,1,3,8,0,20,0
1001001,240,0,45,0,1,3,8,0,20,0
1001001,40,0,45,0,1,3,8,0,20,0
1001001,290,0,45,0,1,3,8,0,20,0
1001001,140,0,45,0,1,3,8,0,20,0
1001001,390,0,45,0,1,3,8,0,20,0
1001002,140,0,25,24.533333,0,2,4.8,0,4,1
1001002,90,1,25,24.533333,0,2,4.8,0,4,1
1001002,390,0,25,24.533333,0,2,4.8,0,4,1
1001002,490,0,25,24.533333,0,2,4.8,0,4,1
1001002,240,0,25,24.533333,0,2,4.8,0,4,1
1001002,40,1,25,24.533333,0,2,4.8,0,4,1
1001002,190,0,25,24.533333,0,2,4.8,0,4,1
1001002,290,0,25,24.533333,0,2,4.8,0,4,1
1001003,490,0,45,0,0,1,6.6,4,10,0
1001003,240,0,45,0,0,1,6.6,4,10,0
1001003,290,0,45,0,0,1,6.6,4,10,0
1001003,140,0,45,0,0,1,6.6,4,10,0
1001003,90,0,45,0,0,1,6.6,4,10,0
1001003,40,0,45,0,0,1,6.6,4,10,0
1001003,390,0,45,0,0,1,6.6,4,10,0
1001003,190,0,45,0,0,1,6.6,4,10,0
1001004,240,0,45,0,0,2,5.2,0,14,0
1001004,190,0,45,0,0,2,5.2,0,14,0
1001004,90,0,45,0,0,2,5.2,0,14,0
1001004,490,0,45,0,0,2,5.2,0,14,0
1001004,140,0,45,0,0,2,5.2,0,14,0
1001004,290,0,45,0,0,2,5.2,0,14,0
1001004,390,0,45,0,0,2,5.2,0,14,0
1001004,40,0,45,0,0,2,5.2,0,14,0
1001005,140,0,45,0,1,3,2.4,3,19,0
1001005,490,0,45,0,1,3,2.4,3,19,0
1001005,390,0,45,0,1,3,2.4,3,19,0
1001005,240,0,45,0,1,3,2.4,3,19,0
1001005,90,0,45,0,1,3,2.4,3,19,0
1001005,290,0,45,0,1,3,2.4,3,19,0
1001005,40,1,45,0,1,3,2.4,3,19,0
1001005,190,0,45,0,1,3,2.4,3,19,0
1001006,190,0,39,0,0,2,10,10,6,0
1001006,490,0,39,0,0,2,10,10,6,0
1001006,140,0,39,0,0,2,10,10,6,0
1001006,240,0,39,0,0,2,10,10,6,0
1001006,390,0,39,0,0,2,10,10,6,0
1001006,90,0,39,0,0,2,10,10,6,0
1001006,290,0,39,0,0,2,10,10,6,0
1001006,40,0,39,0,0,2,10,10,6,0
1001007,90,0,47.5,0,0,3,8,6,15,0
1001007,40,0,47.5,0,0,3,8,6,15,0
1001007,290,0,47.5,0,0,3,8,6,15,0
1001007,140,0,47.5,0,0,3,8,6,15,0
1001007,390,0,47.5,0,0,3,8,6,15,0
1001007,490,0,47.5,0,0,3,8,6,15,0
1001007,240,0,47.5,0,0,3,8,6,15,0
1001007,190,0,47.5,0,0,3,8,6,15,0
1001008,290,0,45,0,0,2,4,0,16,1
1001008,40,0,45,0,0,2,4,0,16,1
1001008,390,0,45,0,0,2,4,0,16,1
1001008,240,0,45,0,0,2,4,0,16,1
1001008,90,0,45,0,0,2,4,0,16,1
1001008,140,0,45,0,0,2,4,0,16,1
1001008,190,0,45,0,0,2,4,0,16,1
1001008,490,0,45,0,0,2,4,0,16,1
