varnames,varlabels,zzz1,zzz2,zzz3,zzz4,zzz5,zzz6,zzz7,zzz8,zzz9,zzz10
"p_cotton_M","Push calls on cotton at midline",30,,,,,,,,,
"p_cumin_M","Push calls on cumin at midline",15,,,,,,,,,
"p_wheat_M","Push calls on wheat at midline",11,,,,,,,,,
"p_crop_planning_M","Push calls on crop_planning at midline",30,,,,,,,,,
"p_fertilizer_M","Push calls on fertilizer at midline",13,,,,,,,,,
"p_weather_M","Push calls on weather at midline",10,,,,,,,,,
"p_irrigation_M","Push calls on irrigation at midline",2,,,,,,,,,
"p_pest_management_M","Push calls on pest_management at midline",23,,,,,,,,,
"pct_p_cotton_M","Percentage of push calls on cotton at midline",.6818182,,,,,,,,,
"pct_p_cumin_M","Percentage of push calls on cumin at midline",.3409091,,,,,,,,,
"pct_p_wheat_M","Percentage of push calls on wheat at midline",.25,,,,,,,,,
"pct_p_crop_planning_M","Percentage of push calls on crop_planning at midline",.6818182,,,,,,,,,
"pct_p_fertilizer_M","Percentage of push calls on fertilizer at midline",.2954545,,,,,,,,,
"pct_p_weather_M","Percentage of push calls on weather at midline",.2272727,,,,,,,,,
"pct_p_irrigation_M","Percentage of push calls on irrigation at midline",.0454545,,,,,,,,,
"pct_p_pest_management_M","Percentage of push calls on pest_management at midline",.5227273,,,,,,,,,
"p_cotton_E","Push calls on cotton at endline",59,,,,,,,,,
"p_cumin_E","Push calls on cumin at endline",36,,,,,,,,,
"p_wheat_E","Push calls on wheat at endline",27,,,,,,,,,
"p_crop_planning_E","Push calls on crop_planning at endline",64,,,,,,,,,
"p_fertilizer_E","Push calls on fertilizer at endline",32,,,,,,,,,
"p_weather_E","Push calls on weather at endline",26,,,,,,,,,
"p_irrigation_E","Push calls on irrigation at endline",5,,,,,,,,,
"p_pest_management_E","Push calls on pest_management at endline",73,,,,,,,,,
"pct_p_cotton_E","Percentage of push calls on cotton at endline",.6210526,,,,,,,,,
"pct_p_cumin_E","Percentage of push calls on cumin at endline",.3789474,,,,,,,,,
"pct_p_wheat_E","Percentage of push calls on wheat at endline",.2842105,,,,,,,,,
