varnames,varlabs,t1,sig1_1,sig5_1,sig10_1
"s3_1","(Cumin) What was the most important factor in determining which seed you used?",1.249312,0,0,0
"s3_3","(Cumin) Did you solicit or receive any advice on cumin seeds?",.3980317,0,0,0
"s3_41","(Cumin) What was the most important source of seed advice? - Source 1",3.230751,1,1,1
"s3_42","(Cumin) What was the most important source of seed advice? - Source 2",.1795821,0,0,0
"s3_5","(Cumin) Did you purchase or reuse cumin seeds?",.660082,0,0,0
"s3_9","(Cumin) Did you treat your seeds before planting?",.944225,0,0,0
"s3_10a","(Cumin) How did you treat your seeds? - Fungicides",1.0402,0,0,0
"s3_10b","(Cumin) How did you treat your seeds? - Pesticides",1.944084,0,0,1
"s3_10c","(Cumin) How did you treat your seeds? - Biological Method",.4495955,0,0,0
"s3_10d1","(Cumin) How did you treat your seeds? - Other 1",.0059118,0,0,0
"s3_11","(Cumin) In last Rabi, did you use the broadcasting method for planting or did yo",.8257804,0,0,0
"s3_12_inch","(Cumin) What was the spacing between the seeds in the same row? - In inches",.1242313,0,0,0
"s3_12_999","(Cumin) What was the spacing between the seeds in the same row? - Don't know",.4495955,0,0,0
"s3_1_factor_1","(Cumin) Was low_price the most important factor in determining which cumin seed ",1.414867,0,0,0
"s3_1_factor_2","(Cumin) Was pest_resistence the most important factor in determining which cumin",.9726295,0,0,0
"s3_1_factor_3","(Cumin) Was safe_yield the most important factor in determining which cumin seed",2.467931,0,1,1
"s3_1_factor_4","(Cumin) Was high_yield the most important factor in determining which cumin seed",.1386678,0,0,0
"s3_1_factor_5","(Cumin) Was few_inputs the most important factor in determining which cumin seed",.9997672,0,0,0
"s3_1_factor_6","(Cumin) Was water_requirements the most important factor in determining which cu",.7034969,0,0,0
"s3_1_factor_7","(Cumin) Was what_friends_use the most important factor in determining which cumi",1.977133,0,1,1
"s3_1_factor_8","(Cumin) Was availability the most important factor in determining which cumin se",1.414867,0,0,0
"s3_1_factor_9","(Cumin) Was soil_fertility the most important factor in determining which cumin ",.2486439,0,0,0
"s3_1_factor_10","(Cumin) Was gen_advice the most important factor in determining which cumin seed",1.15545,0,0,0
"s3_1_factor_888","(Cumin) Was other the most important factor in determining which cumin seed you ",1.210725,0,0,0
"s3_1_factor_999","(Cumin) Was don't_know the most important factor in determining which cumin seed",1.000468,0,0,0
"s3_41_1","(Cumin Seeds 1)Is your most imp source past experience?",.9997672,0,0,0
"s3_41_3","(Cumin Seeds 1)Is your most imp source cell phone based info?",4.777849,1,1,1
"s3_41_7","(Cumin Seeds 1)Is your most imp source other farmers?",1.374208,0,0,0
"s3_41_8","(Cumin Seeds 1)Is your most imp source agro shops?",1.438108,0,0,0
"s3_42_1","(Cumin Seeds 2)Is your most imp source past experience?",.6366248,0,0,0
"s3_42_7","(Cumin Seeds 2)Is your most imp source other farmers?",.0048202,0,0,0
"s3_42_8","(Cumin Seeds 2)Is your most imp source agro shops?",.3741975,0,0,0
"s3_source_1","(Cumin Seeds) Is your most imp source past_experience?",.3061334,0,0,0
"s3_source_3","(Cumin Seeds) Is your most imp source cell_phone_info?",4.777849,1,1,1
"s3_source_7","(Cumin Seeds) Is your most imp source other_farmers?",1.271027,0,0,0
"s3_source_8","(Cumin Seeds) Is your most imp source agro_shops?",1.216284,0,0,0
"s3_5_seeds_1","(Cumin) Did you purchase_new seeds last Rabi?",.5202615,0,0,0
"s3_5_seeds_2","(Cumin) Did you reuse_old seeds last Rabi?",.1662761,0,0,0
"s3_5_seeds_3","(Cumin) Did you purchase&reuse seeds last Rabi?",.4495955,0,0,0
"s3_total_cost","(Cumin) Total cost of cumin seeds in R'10-11",.3061852,0,0,0
"s3_tot_q_purchased","(Cumin) Total qty of cumin seeds purchased in R'10-11, Kilos",.1185645,0,0,0
"s3_tot_q_used","(Cumin) Total qty of cumin seeds used in R'10-11, Kilos",.7529862,0,0,0
"s3_11_method_1","(Cumin) Did you use the broadcasting method last Rabi for planting?",.1428565,0,0,0
"s3_11_method_2","(Cumin) Did you plant cumin seeds in rows last Rabi?",.8107685,0,0,0
"s3_seed_1","(Cumin Seeds) Did you purchase GC_1?",.6366248,0,0,0
"s3_seed_2","(Cumin Seeds) Did you purchase GC_2?",1.297207,0,0,0
"s3_seed_3","(Cumin Seeds) Did you purchase GC_3?",.9997672,0,0,0
"s3_seed_4","(Cumin Seeds) Did you purchase GC_4?",.0279882,0,0,0
"s3_seed_5","(Cumin Seeds) Did you purchase Rajasthan_Cumin?",.9327928,0,0,0
"s3_seed_6","(Cumin Seeds) Did you purchase Western?",.8547635,0,0,0
"s3_seeduse_1","(Cumin Seeds) Did you use GC_1?",.5061595,0,0,0
"s3_seeduse_2","(Cumin Seeds) Did you use GC_2?",.8910164,0,0,0
"s3_seeduse_3","(Cumin Seeds) Did you use GC_3?",.9997672,0,0,0
"s3_seeduse_4","(Cumin Seeds) Did you use GC_4?",.0829748,0,0,0
"s3_seeduse_5","(Cumin Seeds) Did you use Rajasthan_Cumin?",.6589105,0,0,0
"s3_seeduse_6","(Cumin Seeds) Did you use Western?",.8547635,0,0,0
"s3_1_kilo","(Cumin Seeds) How many kilos of GC_1 seeds did you purchase?",.0377278,0,0,0
"s3_2_kilo","(Cumin Seeds) How many kilos of GC_2 seeds did you purchase?",.4137418,0,0,0
"s3_4_kilo","(Cumin Seeds) How many kilos of GC_4 seeds did you purchase?",.0244468,0,0,0
"s3_5_kilo","(Cumin Seeds) How many kilos of Rajasthan_Cumin seeds did you purchase?",.7248248,0,0,0
"s3_6_kilo","(Cumin Seeds) How many kilos of Western seeds did you purchase?",.0886611,0,0,0
"s3_1_totalrs","(Cumin Seeds) Total spent on GC_1 seeds?",1.03402,0,0,0
"s3_2_totalrs","(Cumin Seeds) Total spent on GC_2 seeds?",.0868078,0,0,0
"s3_3_totalrs","(Cumin Seeds) Total spent on GC_3 seeds?",.9997672,0,0,0
"s3_4_totalrs","(Cumin Seeds) Total spent on GC_4 seeds?",.0912707,0,0,0
"s3_5_totalrs","(Cumin Seeds) Total spent on Rajasthan_Cumin seeds?",.9785192,0,0,0
"s3_6_totalrs","(Cumin Seeds) Total spent on Western seeds?",.2753482,0,0,0
"s3_4_pktqtyused","(Cumin Seeds) How many kilos of GC_4 seeds/packet?",.9418821,0,0,0
"s3_1_qtyused","(Cumin Seeds) Total kilos of GC_1 seeds used.",.0197905,0,0,0
"s3_2_qtyused","(Cumin Seeds) Total kilos of GC_2 seeds used.",.3368267,0,0,0
"s3_3_qtyused","(Cumin Seeds) Total kilos of GC_3 seeds used.",.9997672,0,0,0
