varnames,varlabs,t1,sig1_1,sig5_1,sig10_1
"s3_1","(Cumin) What was the most important factor in determining which seed you used?",1.190301,0,0,0
"s3_3","(Cumin) Did you solicit or receive any advice on cumin seeds?",1.006161,0,0,0
"s3_41","(Cumin) What was the most important source of seed advice? - Source 1",.0239174,0,0,0
"s3_42","(Cumin) What was the most important source of seed advice? - Source 2",.4078814,0,0,0
"s3_5","(Cumin) Did you purchase or reuse cumin seeds?",.160879,0,0,0
"s3_61_pkt","(Cumin) Qty of seed purchased- in Packets",.9967071,0,0,0
"s3_61_pricepkt","(Cumin) Price of seed purchased per packet",.1240918,0,0,0
"s3_61_pktqty","(Cumin) Qty of seeds in each packet",1.000761,0,0,0
"s3_61_kilo","(Cumin) Qty of seed purchased- Kilos",1.150443,0,0,0
"s3_61_pricekilo","(Cumin) Price of seed purchased per kilo",.5298374,0,0,0
"s3_62_pkt","(Cumin) Qty of seed purchased- in Packets",.3501718,0,0,0
"s3_62_pricepkt","(Cumin) Price of seed purchased per packet",.5123152,0,0,0
"s3_62_kilo","(Cumin) Qty of seed purchased- Kilos",.3782058,0,0,0
"s3_62_pricekilo","(Cumin) Price of seed purchased per kilo",.3463369,0,0,0
"s3_63_pricekilo","(Cumin) Price of seed purchased per kilo",1.119753,0,0,0
"s3_71_pkt","(Cumin) Qty of seed used- in Packets",1.253576,0,0,0
"s3_71_pktqty","(Cumin) Qty of seeds in each packet",.8731105,0,0,0
"s3_71_kilo","(Cumin) Qty of seed used- in kilos",1.217196,0,0,0
"s3_72_pkt","(Cumin) Qty of seed used- in Packets",.2999548,0,0,0
"s3_72_kilo","(Cumin) Qty of seed used- in kilos",.3251841,0,0,0
"s3_8_hhtotal","(Cumin) Total labour days for sowing in R'10-11 - Household",.9123569,0,0,0
"s3_8_hiredtotal","(Cumin) Total labour days for sowing in R'10-11 - Hired",.3918736,0,0,0
"s3_8_wage","(Cumin) Daily wage for sowing in R'10-11 - Hired",.5397894,0,0,0
"s3_8_rstotal","(Cumin) Total labour cost for sowing in R'10-11 - Hired",.7037064,0,0,0
"s3_8_rstrac","(Cumin) Total labour cost for tractor in R'10-11 - Hired",.2523241,0,0,0
"s3_8_hrstrac","(Cumin) Total labour hours for tractor in R'10-11 - Hired",.7863633,0,0,0
"s3_8_rshourtrac","(Cumin) Total Rs. per hour for tractor in R'10-11 - Hired",.6251551,0,0,0
"s3_9","(Cumin) Did you treat your seeds before planting?",.6478468,0,0,0
"s3_10a","(Cumin) How did you treat your seeds? - Fungicides",.5112754,0,0,0
"s3_10b","(Cumin) How did you treat your seeds? - Pesticides",.0086747,0,0,0
"s3_10c","(Cumin) How did you treat your seeds? - Biological Method",1.393392,0,0,0
"s3_10d1","(Cumin) How did you treat your seeds? - Other 1",1.733853,0,0,1
"s3_11","(Cumin) In last Rabi, did you use the broadcasting method for planting or did yo",.9633139,0,0,0
"s3_12_inch","(Cumin) What was the spacing between the seeds in the same row? - In inches",1.86378,0,0,1
"s3_12_999","(Cumin) What was the spacing between the seeds in the same row? - Don't know",1.935652,0,0,1
"s3_1_factor_1","(Cumin) Was low_price the most important factor in determining which cumin seed ",.4513672,0,0,0
"s3_1_factor_2","(Cumin) Was pest_resistence the most important factor in determining which cumin",.5112754,0,0,0
"s3_1_factor_3","(Cumin) Was safe_yield the most important factor in determining which cumin seed",2.837858,1,1,1
"s3_1_factor_4","(Cumin) Was high_yield the most important factor in determining which cumin seed",.3495925,0,0,0
"s3_1_factor_5","(Cumin) Was few_inputs the most important factor in determining which cumin seed",.9997898,0,0,0
"s3_1_factor_6","(Cumin) Was water_requirements the most important factor in determining which cu",.2528578,0,0,0
"s3_1_factor_7","(Cumin) Was what_friends_use the most important factor in determining which cumi",1.02528,0,0,0
"s3_1_factor_8","(Cumin) Was availability the most important factor in determining which cumin se",.4513672,0,0,0
"s3_1_factor_9","(Cumin) Was soil_fertility the most important factor in determining which cumin ",.6390545,0,0,0
"s3_1_factor_10","(Cumin) Was gen_advice the most important factor in determining which cumin seed",.309374,0,0,0
"s3_1_factor_888","(Cumin) Was other the most important factor in determining which cumin seed you ",.9997898,0,0,0
"s3_1_factor_999","(Cumin) Was don't_know the most important factor in determining which cumin seed",.3862518,0,0,0
"s3_41_1","(Cumin Seeds 1)Is your most imp source past experience?",1.4148,0,0,0
"s3_41_2","(Cumin Seeds 1)Is your most imp source TV program?",1.004808,0,0,0
"s3_41_5","(Cumin Seeds 1)Is your most imp source government extension worker?",.4513672,0,0,0
"s3_41_6","(Cumin Seeds 1)Is your most imp source NGOs?",1.000424,0,0,0
"s3_41_7","(Cumin Seeds 1)Is your most imp source other farmers?",.4103394,0,0,0
"s3_41_8","(Cumin Seeds 1)Is your most imp source agro shops?",.8825594,0,0,0
"s3_42_1","(Cumin Seeds 2)Is your most imp source past experience?",.4513672,0,0,0
"s3_42_2","(Cumin Seeds 2)Is your most imp source TV program?",.4513672,0,0,0
"s3_42_4","(Cumin Seeds 2)Is your most imp source newspaper/magazines?",.9997898,0,0,0
"s3_42_7","(Cumin Seeds 2)Is your most imp source other farmers?",.5410105,0,0,0
"s3_42_8","(Cumin Seeds 2)Is your most imp source agro shops?",.1738232,0,0,0
"s3_source_1","(Cumin Seeds) Is your most imp source past_experience?",.3709216,0,0,0
"s3_source_2","(Cumin Seeds) Is your most imp source TV?",1.076975,0,0,0
"s3_source_4","(Cumin Seeds) Is your most imp source newspaper?",.9997898,0,0,0
"s3_source_5","(Cumin Seeds) Is your most imp source gov_extension?",.4513672,0,0,0
"s3_source_6","(Cumin Seeds) Is your most imp source NGOs?",1.000424,0,0,0
"s3_source_7","(Cumin Seeds) Is your most imp source other_farmers?",.279016,0,0,0
"s3_source_8","(Cumin Seeds) Is your most imp source agro_shops?",.6110396,0,0,0
"s3_5_seeds_1","(Cumin) Did you purchase_new seeds last Rabi?",1.440924,0,0,0
"s3_5_seeds_2","(Cumin) Did you reuse_old seeds last Rabi?",1.974611,0,1,1
"s3_5_seeds_3","(Cumin) Did you purchase&reuse seeds last Rabi?",.2682576,0,0,0
