varnames,varlabs,t1,sig1_1,sig5_1,sig10_1
"s3_1","(Cumin) What was the most important factor in determining which seed you used?",1.791506,0,0,1
"s3_3","(Cumin) Did you solicit or receive any advice on cumin seeds?",.7116317,0,0,0
"s3_41","(Cumin) What was the most important source of seed advice? - Source 1",4.878958,1,1,1
"s3_42","(Cumin) What was the most important source of seed advice? - Source 2",1.035026,0,0,0
"s3_5","(Cumin) Did you purchase or reuse cumin seeds?",1.119243,0,0,0
"s3_61_pkt","(Cumin) Qty of seed purchased- in Packets",1.159858,0,0,0
"s3_61_pricepkt","(Cumin) Price of seed purchased per packet",.4994617,0,0,0
"s3_61_pktqty","(Cumin) Qty of seeds in each packet",1.284418,0,0,0
"s3_61_kilo","(Cumin) Qty of seed purchased- Kilos",1.017987,0,0,0
"s3_61_pricekilo","(Cumin) Price of seed purchased per kilo",.7663586,0,0,0
"s3_62_pkt","(Cumin) Qty of seed purchased- in Packets",.0135947,0,0,0
"s3_62_pricepkt","(Cumin) Price of seed purchased per packet",1.199631,0,0,0
"s3_62_pktqty","(Cumin) Qty of seeds in each packet",1.067924,0,0,0
"s3_62_kilo","(Cumin) Qty of seed purchased- Kilos",.0263904,0,0,0
"s3_62_pricekilo","(Cumin) Price of seed purchased per kilo",.5373819,0,0,0
"s3_63_pkt","(Cumin) Qty of seed purchased- in Packets",1.000718,0,0,0
"s3_63_pricepkt","(Cumin) Price of seed purchased per packet",1.000718,0,0,0
"s3_63_pktqty","(Cumin) Qty of seeds in each packet",1.000718,0,0,0
"s3_63_kilo","(Cumin) Qty of seed purchased- Kilos",1.000444,0,0,0
"s3_71_pkt","(Cumin) Qty of seed used- in Packets",1.002717,0,0,0
"s3_71_pktqty","(Cumin) Qty of seeds in each packet",.1251576,0,0,0
"s3_71_kilo","(Cumin) Qty of seed used- in kilos",.060109,0,0,0
"s3_72_pkt","(Cumin) Qty of seed used- in Packets",.0135947,0,0,0
"s3_72_pktqty","(Cumin) Qty of seeds in each packet",1.067924,0,0,0
"s3_72_kilo","(Cumin) Qty of seed used- in kilos",.0263904,0,0,0
"s3_73_pkt","(Cumin) Qty of seed used- in Packets",1.000718,0,0,0
"s3_73_pktqty","(Cumin) Qty of seeds in each packet",1.000718,0,0,0
"s3_73_kilo","(Cumin) Qty of seed used- in kilos",1.000444,0,0,0
"s3_8_hhtotal","(Cumin) Total labour days for sowing in R'10-11 - Household",1.123639,0,0,0
"s3_8_hiredtotal","(Cumin) Total labour days for sowing in R'10-11 - Hired",1.015436,0,0,0
"s3_8_wage","(Cumin) Daily wage for sowing in R'10-11 - Hired",.3483035,0,0,0
"s3_8_rstotal","(Cumin) Total labour cost for sowing in R'10-11 - Hired",.789835,0,0,0
"s3_8_rstrac","(Cumin) Total labour cost for tractor in R'10-11 - Hired",.5683036,0,0,0
"s3_8_hrstrac","(Cumin) Total labour hours for tractor in R'10-11 - Hired",1.015915,0,0,0
"s3_8_rshourtrac","(Cumin) Total Rs. per hour for tractor in R'10-11 - Hired",1.478538,0,0,0
"s3_9","(Cumin) Did you treat your seeds before planting?",.1156794,0,0,0
"s3_10a","(Cumin) How did you treat your seeds? - Fungicides",.1314225,0,0,0
"s3_10b","(Cumin) How did you treat your seeds? - Pesticides",.9997777,0,0,0
"s3_10c","(Cumin) How did you treat your seeds? - Biological Method",1.000444,0,0,0
"s3_10d1","(Cumin) How did you treat your seeds? - Other 1",.2342694,0,0,0
"s3_11","(Cumin) In last Rabi, did you use the broadcasting method for planting or did yo",1.157208,0,0,0
"s3_12_inch","(Cumin) What was the spacing between the seeds in the same row? - In inches",.1755436,0,0,0
"s3_1_factor_1","(Cumin) Was low_price the most important factor in determining which cumin seed ",.7107326,0,0,0
"s3_1_factor_2","(Cumin) Was pest_resistence the most important factor in determining which cumin",.8619048,0,0,0
"s3_1_factor_3","(Cumin) Was safe_yield the most important factor in determining which cumin seed",1.003465,0,0,0
"s3_1_factor_4","(Cumin) Was high_yield the most important factor in determining which cumin seed",1.978821,0,1,1
"s3_1_factor_5","(Cumin) Was few_inputs the most important factor in determining which cumin seed",.3808391,0,0,0
"s3_1_factor_6","(Cumin) Was water_requirements the most important factor in determining which cu",1.000369,0,0,0
"s3_1_factor_7","(Cumin) Was what_friends_use the most important factor in determining which cumi",1.802193,0,0,1
"s3_1_factor_8","(Cumin) Was availability the most important factor in determining which cumin se",1.270564,0,0,0
"s3_1_factor_9","(Cumin) Was soil_fertility the most important factor in determining which cumin ",.4244111,0,0,0
"s3_1_factor_10","(Cumin) Was gen_advice the most important factor in determining which cumin seed",1.221146,0,0,0
"s3_1_factor_888","(Cumin) Was other the most important factor in determining which cumin seed you ",1.275982,0,0,0
"s3_1_factor_999","(Cumin) Was don't_know the most important factor in determining which cumin seed",.4459174,0,0,0
"s3_41_1","(Cumin Seeds 1)Is your most imp source past experience?",.0021822,0,0,0
"s3_41_3","(Cumin Seeds 1)Is your most imp source cell phone based info?",5.4878,1,1,1
"s3_41_7","(Cumin Seeds 1)Is your most imp source other farmers?",2.007414,0,1,1
"s3_41_8","(Cumin Seeds 1)Is your most imp source agro shops?",1.997679,0,1,1
"s3_41_9","(Cumin Seeds 1)Is your most imp source trader/commission agents?",.9997777,0,0,0
"s3_42_1","(Cumin Seeds 2)Is your most imp source past experience?",.8950701,0,0,0
"s3_42_3","(Cumin Seeds 2)Is your most imp source cell phone based info?",1.414846,0,0,0
"s3_42_7","(Cumin Seeds 2)Is your most imp source other farmers?",.004382,0,0,0
"s3_42_8","(Cumin Seeds 2)Is your most imp source agro shops?",.4983819,0,0,0
"s3_source_1","(Cumin Seeds) Is your most imp source past_experience?",.7849045,0,0,0
"s3_source_3","(Cumin Seeds) Is your most imp source cell_phone_info?",5.681787,1,1,1
"s3_source_7","(Cumin Seeds) Is your most imp source other_farmers?",1.862099,0,0,1
"s3_source_8","(Cumin Seeds) Is your most imp source agro_shops?",2.041396,0,1,1
"s3_source_9","(Cumin Seeds) Is your most imp source trader_commission_agents?",.9997777,0,0,0
"s3_5_seeds_1","(Cumin) Did you purchase_new seeds last Rabi?",1.575423,0,0,0
"s3_5_seeds_2","(Cumin) Did you reuse_old seeds last Rabi?",.3016606,0,0,0
"s3_5_seeds_3","(Cumin) Did you purchase&reuse seeds last Rabi?",.7107326,0,0,0
"s3_61_rstot","(Cumin) Total cost of variety of cumin seed - 1",.1170686,0,0,0
"s3_62_rstot","(Cumin) Total cost of variety of cumin seed - 2",.2409811,0,0,0
"s3_63_rstot","(Cumin) Total cost of variety of cumin seed - 3",1.000718,0,0,0
"s3_total_cost","(Cumin) Total cost of cumin seeds in R'10-11",1.000718,0,0,0
"s3_tot_q_purchased","(Cumin) Total qty of cumin seeds purchased in R'10-11, Kilos",1.000718,0,0,0
"s3_tot_q_used","(Cumin) Total qty of cumin seeds used in R'10-11, Kilos",1.000718,0,0,0
"s3_11_method_1","(Cumin) Did you use the broadcasting method last Rabi for planting?",.9924036,0,0,0
"s3_11_method_2","(Cumin) Did you plant cumin seeds in rows last Rabi?",.6590158,0,0,0
"s3_61_seed_1","(Cumin Seeds) Did you purchase GC_1?",1.070135,0,0,0
"s3_61_seed_2","(Cumin Seeds) Did you purchase GC_2?",1.107949,0,0,0
"s3_61_seed_4","(Cumin Seeds) Did you purchase GC_4?",.7888666,0,0,0
"s3_61_seed_5","(Cumin Seeds) Did you purchase Rajasthan_Cumin?",1.758562,0,0,1
"s3_61_seed_6","(Cumin Seeds) Did you purchase Western?",1.228318,0,0,0
"s3_62_seed_2","(Cumin Seeds) Did you purchase GC_2?",1.414846,0,0,0
"s3_62_seed_4","(Cumin Seeds) Did you purchase GC_4?",1.733989,0,0,1
"s3_62_seed_5","(Cumin Seeds) Did you purchase Rajasthan_Cumin?",.0021822,0,0,0
"s3_62_seed_6","(Cumin Seeds) Did you purchase Western?",.0021822,0,0,0
"s3_seed_1","(Cumin Seeds) Did you purchase GC_1?",1.070135,0,0,0
"s3_seed_2","(Cumin Seeds) Did you purchase GC_2?",1.43013,0,0,0
"s3_seed_4","(Cumin Seeds) Did you purchase GC_4?",.6718708,0,0,0
"s3_seed_5","(Cumin Seeds) Did you purchase Rajasthan_Cumin?",1.708255,0,0,1
"s3_seed_6","(Cumin Seeds) Did you purchase Western?",1.098898,0,0,0
"s3_71_seeduse_1","(Cumin Seeds) Did you use GC_1?",1.149271,0,0,0
"s3_71_seeduse_2","(Cumin Seeds) Did you use GC_2?",1.224412,0,0,0
"s3_71_seeduse_4","(Cumin Seeds) Did you use GC_4?",.5365623,0,0,0
"s3_71_seeduse_5","(Cumin Seeds) Did you use Rajasthan_Cumin?",1.071327,0,0,0
"s3_71_seeduse_6","(Cumin Seeds) Did you use Western?",1.518946,0,0,0
"s3_72_seeduse_2","(Cumin Seeds) Did you use GC_2?",.0021822,0,0,0
"s3_72_seeduse_4","(Cumin Seeds) Did you use GC_4?",1.733989,0,0,1
"s3_72_seeduse_5","(Cumin Seeds) Did you use Rajasthan_Cumin?",.3808391,0,0,0
"s3_72_seeduse_6","(Cumin Seeds) Did you use Western?",.0021822,0,0,0
"s3_seeduse_1","(Cumin Seeds) Did you use GC_1?",1.149271,0,0,0
"s3_seeduse_2","(Cumin Seeds) Did you use GC_2?",1.150885,0,0,0
"s3_seeduse_4","(Cumin Seeds) Did you use GC_4?",.4243975,0,0,0
"s3_seeduse_5","(Cumin Seeds) Did you use Rajasthan_Cumin?",1.043923,0,0,0
"s3_seeduse_6","(Cumin Seeds) Did you use Western?",1.37899,0,0,0
"s3_1_pkt","(Cumin Seeds) How many packets of GC_1 seeds did you purchase?",1.000718,0,0,0
"s3_2_pkt","(Cumin Seeds) How many packets of GC_2 seeds did you purchase?",.040012,0,0,0
"s3_4_pkt","(Cumin Seeds) How many packets of GC_4 seeds did you purchase?",.9236425,0,0,0
"s3_5_pkt","(Cumin Seeds) How many packets of Rajasthan_Cumin seeds did you purchase?",1.305223,0,0,0
"s3_6_pkt","(Cumin Seeds) How many packets of Western seeds did you purchase?",.2385941,0,0,0
"s3_1_pricepkt","(Cumin Seeds) How much was one packet of GC_1 seeds?",1.000718,0,0,0
"s3_2_pricepkt","(Cumin Seeds) How much was one packet of GC_2 seeds?",1.045845,0,0,0
"s3_4_pricepkt","(Cumin Seeds) How much was one packet of GC_4 seeds?",.3614302,0,0,0
"s3_5_pricepkt","(Cumin Seeds) How much was one packet of Rajasthan_Cumin seeds?",2.007604,0,1,1
"s3_6_pricepkt","(Cumin Seeds) How much was one packet of Western seeds?",.9916388,0,0,0
"s3_1_totalrspkt","(Cumin Seeds) How much did you spend on the packets of GC_1 seeds?",1.000444,0,0,0
"s3_2_totalrspkt","(Cumin Seeds) How much did you spend on the packets of GC_2 seeds?",.7516088,0,0,0
"s3_4_totalrspkt","(Cumin Seeds) How much did you spend on the packets of GC_4 seeds?",.8580821,0,0,0
"s3_5_totalrspkt","(Cumin Seeds) How much did you spend on the packets of Rajasthan_Cumin seeds?",1.552689,0,0,0
"s3_6_totalrspkt","(Cumin Seeds) How much did you spend on the packets of Western seeds?",.3565946,0,0,0
"s3_1_kilo","(Cumin Seeds) How many kilos of GC_1 seeds did you purchase?",1.000444,0,0,0
"s3_2_kilo","(Cumin Seeds) How many kilos of GC_2 seeds did you purchase?",.0715571,0,0,0
"s3_4_kilo","(Cumin Seeds) How many kilos of GC_4 seeds did you purchase?",.6268057,0,0,0
"s3_5_kilo","(Cumin Seeds) How many kilos of Rajasthan_Cumin seeds did you purchase?",1.303894,0,0,0
"s3_6_kilo","(Cumin Seeds) How many kilos of Western seeds did you purchase?",.2898911,0,0,0
"s3_1_pricekilo","(Cumin Seeds) How much was one kilo of GC_1 seeds?",.9996545,0,0,0
"s3_2_pricekilo","(Cumin Seeds) How much was one kilo of GC_2 seeds?",.974952,0,0,0
"s3_4_pricekilo","(Cumin Seeds) How much was one kilo of GC_4 seeds?",.5768228,0,0,0
"s3_5_pricekilo","(Cumin Seeds) How much was one kilo of Rajasthan_Cumin seeds?",.7185104,0,0,0
"s3_6_pricekilo","(Cumin Seeds) How much was one kilo of Western seeds?",.9213852,0,0,0
"s3_1_totalrskilo","(Cumin Seeds) How much did you spend on all the kilos of GC_1 seeds?",.90503,0,0,0
"s3_2_totalrskilo","(Cumin Seeds) How much did you spend on all the kilos of GC_2 seeds?",1.425426,0,0,0
"s3_4_totalrskilo","(Cumin Seeds) How much did you spend on all the kilos of GC_4 seeds?",.4912779,0,0,0
"s3_5_totalrskilo","(Cumin Seeds) How much did you spend on all the kilos of Rajasthan_Cumin seeds?",.6010979,0,0,0
"s3_6_totalrskilo","(Cumin Seeds) How much did you spend on all the kilos of Western seeds?",.8781976,0,0,0
"s3_1_totalrs","(Cumin Seeds) Total spent on GC_1 seeds?",1.292661,0,0,0
"s3_2_totalrs","(Cumin Seeds) Total spent on GC_2 seeds?",1.612224,0,0,0
"s3_4_totalrs","(Cumin Seeds) Total spent on GC_4 seeds?",.1371897,0,0,0
"s3_5_totalrs","(Cumin Seeds) Total spent on Rajasthan_Cumin seeds?",.4906878,0,0,0
"s3_6_totalrs","(Cumin Seeds) Total spent on Western seeds?",.6896589,0,0,0
"s3_1_pktused","(Cumin Seeds) How many packets of GC_1 seeds did you use?",1.000718,0,0,0
"s3_2_pktused","(Cumin Seeds) How many packets of GC_2 seeds did you use?",.4924117,0,0,0
"s3_4_pktused","(Cumin Seeds) How many packets of GC_4 seeds did you use?",.7946342,0,0,0
"s3_5_pktused","(Cumin Seeds) How many packets of Rajasthan_Cumin seeds did you use?",1.137092,0,0,0
"s3_6_pktused","(Cumin Seeds) How many packets of Western seeds did you use?",.2385941,0,0,0
"s3_4_pktqtyused","(Cumin Seeds) How many kilos of GC_4 seeds/packet?",.3846898,0,0,0
"s3_1_qtyused","(Cumin Seeds) Total kilos of GC_1 seeds used.",1.00045,0,0,0
"s3_2_qtyused","(Cumin Seeds) Total kilos of GC_2 seeds used.",.372124,0,0,0
"s3_4_qtyused","(Cumin Seeds) Total kilos of GC_4 seeds used.",.0645893,0,0,0
"s3_5_qtyused","(Cumin Seeds) Total kilos of Rajasthan_Cumin seeds used.",.8879162,0,0,0
"s3_6_qtyused","(Cumin Seeds) Total kilos of Western seeds used.",.2805276,0,0,0
"rec3_seed_p","Purchased a recommended seed variety for wheat",.6718708,0,0,0
"rec3_seed_u","Used a recommended seed variety for wheat",.4243975,0,0,0
"rec3_seeds_kg","Quantity of recommended seeds purchased",.6268057,0,0,0
"rec3_seeds_cost","Total spent on recommended seeds",.1371897,0,0,0
"s2_1","(Wheat) What was the most important factor in determining which seed you used?",2.071731,0,1,1
"s2_3","(Wheat) Did you solicit or receive any advice on wheat seeds?",.5604746,0,0,0
"s2_41","(Wheat) What was the most important source of seed advice? - Source 1",3.367104,1,1,1
"s2_42","(Wheat) What was the most important source of seed advice? - Source 2",1.883091,0,0,1
"s2_5","(Wheat) Did you purchase or reuse wheat seeds?",1.498393,0,0,0
"s2_61_pkt","(Wheat) Qty of seed purchased- in Packets",.9132504,0,0,0
"s2_61_pricepkt","(Wheat) Price of seed purchased per packet",1.05562,0,0,0
"s2_61_pktqty","(Wheat) Qty of seeds in each packet",1.076929,0,0,0
"s2_61_kilo","(Wheat) Qty of seed purchased- Kilos",.6785642,0,0,0
"s2_61_pricekilo","(Wheat) Price of seed purchased per kilo",1.42412,0,0,0
"s2_62_pkt","(Wheat) Qty of seed purchased- in Packets",.9996488,0,0,0
"s2_62_pricepkt","(Wheat) Price of seed purchased per packet",.9996488,0,0,0
"s2_62_pktqty","(Wheat) Qty of seeds in each packet",.9996488,0,0,0
"s2_62_kilo","(Wheat) Qty of seed purchased- Kilos",.9997777,0,0,0
"s2_71_type","(Wheat) Type of seed- improved/desi",1.709589,0,0,1
"s2_71_pkt","(Wheat) Qty of seed used- in Packets",.8704215,0,0,0
"s2_71_pktqty","(Wheat) Qty of seeds in each packet",.3137903,0,0,0
"s2_71_kilo","(Wheat) Qty of seed used- in kilos",.5279533,0,0,0
"s2_72_type","(Wheat) Type of seed- improved/desi",.492366,0,0,0
"s2_72_pkt","(Wheat) Qty of seed used- in Packets",.9996488,0,0,0
"s2_72_pktqty","(Wheat) Qty of seeds in each packet",.9996488,0,0,0
"s2_72_kilo","(Wheat) Qty of seed used- in kilos",.9997777,0,0,0
"s2_8_hhtotal","(Wheat) Total labour days for sowing in R'10-11 - Household",.9374309,0,0,0
"s2_8_hiredtotal","(Wheat) Total labour days for sowing in R'10-11 - Hired",1.668282,0,0,1
"s2_8_wage","(Wheat) Daily wage for sowing in R'10-11 - Hired",1.719777,0,0,1
"s2_8_rstotal","(Wheat) Total labour cost for sowing in R'10-11 - Hired",1.624698,0,0,0
"s2_8_rstrac","(Wheat) Total labour cost for tractor in R'10-11 - Hired",.3114922,0,0,0
"s2_8_hrstrac","(Wheat) Total labour hours for tractor in R'10-11 - Hired",.4245787,0,0,0
"s2_8_rshourtrac","(Wheat) Total Rs. per hour for tractor in R'10-11 - Hired",.6156235,0,0,0
"s2_9","(Wheat) Did you treat your seeds before planting?",.6032446,0,0,0
"s2_10a","(Wheat) How did you treat your seeds? - Fungicides",1.518946,0,0,0
"s2_10b","(Wheat) How did you treat your seeds? - Pesticides",.6313822,0,0,0
"s2_10d1","(Wheat) How did you treat your seeds? - Other 1",1.270564,0,0,0
"s2_11","(Wheat) In last Rabi, did you use the broadcasting method for planting or did yo",.3679346,0,0,0
"s2_12_inch","(Wheat) What was the spacing between the seeds in the same row? - In inches",.93942,0,0,0
"s2_12_999","(Wheat) What was the spacing between the seeds in the same row? - Don't know",.0030902,0,0,0
"s2_1_factor_1","(Wheat) Was low_price the most important factor in determining which seed you us",.4459174,0,0,0
"s2_1_factor_2","(Wheat) Was pest_resistence the most important factor in determining which seed ",.0021822,0,0,0
"s2_1_factor_3","(Wheat) Was safe_yield the most important factor in determining which seed you u",1.633259,0,0,0
"s2_1_factor_4","(Wheat) Was high_yield the most important factor in determining which seed you u",.9043787,0,0,0
"s2_1_factor_5","(Wheat) Was few_inputs the most important factor in determining which seed you u",.0030902,0,0,0
"s2_1_factor_6","(Wheat) Was water_requirements the most important factor in determining which se",.3327367,0,0,0
"s2_1_factor_7","(Wheat) Was what_friends_use the most important factor in determining which seed",.5312386,0,0,0
"s2_1_factor_8","(Wheat) Was availability the most important factor in determining which seed you",.3327367,0,0,0
"s2_1_factor_9","(Wheat) Was soil_fertility the most important factor in determining which seed y",1.004538,0,0,0
"s2_1_factor_10","(Wheat) Was gen_advice the most important factor in determining which seed you u",1.733989,0,0,1
"s2_1_factor_888","(Wheat) Was other the most important factor in determining which seed you used?",1.446022,0,0,0
"s2_41_1","(Wheat Seeds 1)Is your most imp source past experience?",1.733989,0,0,1
"s2_41_3","(Wheat Seeds 1)Is your most imp source cell phone based info?",3.634057,1,1,1
"s2_41_7","(Wheat Seeds 1)Is your most imp source other farmers?",.7112982,0,0,0
"s2_41_8","(Wheat Seeds 1)Is your most imp source agro shops?",.5211053,0,0,0
"s2_42_1","(Wheat Seeds 2)Is your most imp source past experience?",.0030902,0,0,0
"s2_42_2","(Wheat Seeds 2)Is your most imp source TV program?",.9997777,0,0,0
"s2_42_3","(Wheat Seeds 2)Is your most imp source cell phone based info?",.9997777,0,0,0
"s2_42_6","(Wheat Seeds 2)Is your most imp source NGOs?",.9997777,0,0,0
"s2_42_7","(Wheat Seeds 2)Is your most imp source other farmers?",2.457182,0,1,1
"s2_42_8","(Wheat Seeds 2)Is your most imp source agro shops?",.7107326,0,0,0
"s2_source_1","(Wheat Seeds) Is your most imp source past_experience?",.7805856,0,0,0
"s2_source_2","(Wheat Seeds) Is your most imp source TV?",.9997777,0,0,0
"s2_source_3","(Wheat Seeds) Is your most imp source cell_phone_info?",3.773807,1,1,1
"s2_source_6","(Wheat Seeds) Is your most imp source NGOs?",.9997777,0,0,0
