k,model,outcome,regressor,coef,stderr,p,pwyoung,pbonf,psidak
1,"cap reghdfe info_index_a ever_aos info_index_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","info_index_a","ever_aos",5.5427993,.24595735,3.54e-101,0,4.96e-100,0
2,"cap reghdfe info_index_a  ever_aos info_index_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","info_index_a","ever_aos",5.6776056,.2522015,5.66e-101,0,7.36e-100,0
3,"cap pdslasso info_index_a  ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_BXk1","info_index_a","ever_aos",5.606455,.24619553,8.62e-115,0,1.29e-113,0
4,"cap reghdfe input_index_bin_a ever_aos input_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","input_index_bin_a","ever_aos",.14654633,.08654709,.09055108,.346,.62333127,.47460525
5,"cap reghdfe input_index_bin_a  ever_aos input_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","input_index_bin_a","ever_aos",.1633086,.08757028,.06233313,.312,.62333127,.47460525
6,"cap pdslasso input_index_bin_a  ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income","input_index_bin_a","ever_aos",.13324384,.08549669,.11912241,.39,.62333127,.47460525
7,"cap reghdfe yield_index_a ever_aos yield_index_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","yield_index_a","ever_aos",.00793553,.03410708,.81604388,.942,1,.98267537
8,"cap reghdfe yield_index_a  ever_aos yield_index_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","yield_index_a","ever_aos",.01143296,.03461933,.74124546,.898,1,.98267537
9,"cap pdslasso yield_index_a  ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_BXk","yield_index_a","ever_aos",.00190844,.03345729,.95451256,.952,1,.98267537
10,"cap reghdfe overall ever_aos overall_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","overall","ever_aos",.35012139,.23215607,.13166766,.39,.62333127,.47460525
